s_euclidean_plane | axiom | Euclidean plane ℝ²
s_elliptic_symbol | axiom | Elliptic symbol
s_elliptic_parametrix_construction | theorem | Elliptic parametrix construction
s_elliptic_regularity_pseudodifferential | theorem | Elliptic regularity for pseudodifferential operators
s_calderon_vaillancourt_theorem | theorem | Calderón–Vaillancourt theorem
s_beals_characterization_pseudodifferential | theorem | Beals characterization of pseudodifferential operators
s_weyl_quantization | state | Weyl quantization
s_moyal_product | state | Moyal product
s_sharp_garding_inequality | theorem | Sharp Gårding inequality
s_fefferman_phong_inequality | theorem | Fefferman–Phong inequality
t_symbol_smoothing | technique | Symbol smoothing (Friedrichs symmetrization)
s_pseudodifferential_operators_on_manifolds | axiom | Pseudodifferential operators on manifolds Ψ^m(M)
s_principal_symbol_on_manifold | state | Principal symbol on a manifold
s_fredholm_property_elliptic_compact_manifold | theorem | Fredholm property of elliptic operators on compact manifolds
s_seeley_complex_powers | state | Seeley's complex powers
s_weyl_law_sharp_remainder | theorem | Weyl's law with sharp remainder (Hörmander)
s_calderon_projector | state | Calderón projector
s_shapiro_lopatinskii_condition | axiom | Shapiro–Lopatinskii condition
s_boutet_de_monvel_calculus | axiom | Boutet de Monvel calculus
s_poisson_operator_boutet | state | Poisson operator (Boutet de Monvel)
s_singular_green_operator | state | Singular Green operator
s_fredholm_property_elliptic_bvp | theorem | Fredholm property for elliptic BVPs
s_hodge_decomposition_elliptic_complexes | theorem | Hodge decomposition for elliptic complexes
s_symplectic_classification_submanifolds | state | Symplectic classification of submanifolds
s_bicharacteristic_strip | state | Bicharacteristic strip
s_operator_of_principal_type | axiom | Operator of principal type
s_condition_psi_nirenberg_treves | axiom | Condition (Ψ) (Nirenberg–Treves)
s_subelliptic_operators_loss_delta | state | Subelliptic operators (loss of δ derivatives)
s_microlocal_hypoellipticity | state | Microlocal hypoellipticity
s_strictly_hyperbolic_operator | axiom | Strictly hyperbolic operator (PDE)
s_well_posedness_strictly_hyperbolic_cauchy | theorem | Well-posedness of strictly hyperbolic Cauchy problem
s_parametrix_strictly_hyperbolic_cauchy | state | Parametrix for strictly hyperbolic Cauchy problem
s_propagation_singularities_hyperbolic | theorem | Propagation of singularities for hyperbolic equations
t_lax_parametrix_construction | technique | Lax parametrix construction
t_hadamard_fundamental_solution_construction | technique | Hadamard's construction of fundamental solutions
s_glancing_rays | state | Glancing rays
s_diffractive_rays | state | Diffractive rays
s_melrose_sjostrand_propagation_theorem | theorem | Melrose–Sjöstrand propagation theorem
s_gliding_rays | state | Gliding rays
s_non_degenerate_phase_function | axiom | Non-degenerate phase function
s_canonical_relation | axiom | Canonical relation
s_lagrangian_distribution | axiom | Lagrangian distribution I^μ(X, Λ)
s_principal_symbol_lagrangian_distribution | state | Principal symbol of a Lagrangian distribution
s_maslov_index | axiom | Maslov index
s_maslov_bundle | state | Maslov bundle
s_clean_intersection_composition_fio | theorem | Clean intersection composition of FIOs
s_transversal_composition_fio | theorem | Transversal composition of FIOs
s_l2_continuity_fio | theorem | L² continuity of FIOs
s_hormander_sato_lemma | theorem | Hörmander–Sato lemma on WF of FIOs
t_global_calculus_oscillatory_integrals | technique | Global calculus of oscillatory integrals
t_refined_symbol_calculus_type_1_0 | technique | Refined symbol calculus for type (1,0)
s_carleman_estimate | theorem | Carleman estimate (general form)
s_strong_pseudo_convexity_condition | axiom | Strong pseudo-convexity condition
s_holmgren_uniqueness_microlocal | theorem | Holmgren's uniqueness (microlocal version)
s_calderon_uniqueness_theorem | theorem | Calderón uniqueness theorem
s_strong_unique_continuation_property | theorem | Strong unique continuation property
s_unique_continuation_across_non_characteristic | theorem | Unique continuation across non-characteristic surfaces
t_tauberian_theorem_spectral_function | technique | Tauberian theorem for spectral function
s_spectral_function_asymptotic | theorem | Spectral function asymptotic
s_wave_trace_formula | theorem | Wave trace formula
s_sharpness_weyl_remainder | theorem | Sharpness of remainder in Weyl's law
s_local_weyl_law | theorem | Local Weyl law
s_asymptotic_completeness_long_range | theorem | Asymptotic completeness for long-range potentials
s_limiting_absorption_principle_long_range | theorem | Limiting absorption principle (long-range)
s_scattering_matrix_long_range | state | Scattering matrix for long-range potentials
t_phase_space_scattering_long_range | technique | Phase space characterization of long-range scattering
s_sommerfeld_radiation_condition | axiom | Sommerfeld radiation condition (generalized)
s_differentiable_manifold | axiom | Differentiable manifold
s_submanifold | axiom | Submanifold
s_orientation_of_manifold | axiom | Orientation of a manifold
s_vector_field | axiom | Vector field
s_riemannian_manifold | axiom | Riemannian manifold
s_length_of_curve | state | Length of a curve
s_riemannian_distance | state | Riemannian distance
s_isometry | axiom | Isometry (Riemannian)
s_local_isometry | axiom | Local isometry
s_pullback_metric | state | Pullback metric (induced metric)
s_product_metric | state | Product metric
s_affine_connection | axiom | Affine connection
s_covariant_derivative_along_curve | axiom | Covariant derivative along a curve
s_geodesic_equation_local_coords | state | Geodesic equation in local coordinates
s_normal_coordinates | state | Normal coordinates
s_normal_neighborhood | state | Normal neighborhood
s_geodesic_ball_and_sphere | state | Geodesic ball and geodesic sphere
s_gauss_lemma_riemannian | theorem | Gauss lemma (Riemannian geometry)
s_minimizing_property_of_geodesics | theorem | Minimizing property of geodesics
s_convex_neighborhood | axiom | Convex neighborhood
s_whitehead_convex_neighborhood_theorem | theorem | Whitehead's theorem on convex neighborhoods
s_symmetries_of_curvature_tensor | state | Symmetries of the curvature tensor
s_first_bianchi_identity | theorem | First Bianchi identity
s_sectional_curvature | axiom | Sectional curvature
s_ricci_curvature | axiom | Ricci curvature
s_scalar_curvature | axiom | Scalar curvature
s_curvature_determined_by_sectional | theorem | Curvature tensor determined by sectional curvature
s_ricci_determines_curvature_dim_3 | state | Ricci determines curvature in dimension 3
s_jacobi_fields_as_geodesic_variations | state | Jacobi fields as geodesic variations
s_conjugate_point | axiom | Conjugate point
s_multiplicity_of_conjugate_point | state | Multiplicity of a conjugate point
s_conjugate_points_exp_singularity | theorem | Conjugate points as singularities of exp
s_geodesics_cease_minimizing_past_conjugate | theorem | Geodesics cease to minimize past conjugate points
s_isometric_immersion | axiom | Isometric immersion
s_second_fundamental_form | axiom | Second fundamental form
s_normal_connection | state | Normal connection
s_shape_operator | state | Shape operator (Weingarten map)
s_gauss_equation | theorem | Gauss equation
s_codazzi_equation | theorem | Codazzi equation (Codazzi-Mainardi)
s_ricci_equation_submanifold | theorem | Ricci equation (normal curvature equation)
s_totally_geodesic_submanifold | state | Totally geodesic submanifold
s_minimal_submanifold | state | Minimal submanifold
s_geodesic_completeness | axiom | Geodesic completeness
s_cut_point | axiom | Cut point
s_model_spaces | state | Model spaces S^n, R^n, H^n
s_hyperbolic_space | state | Hyperbolic space H^n
s_cartan_theorem_space_forms | theorem | Cartan's theorem on space forms
s_classification_of_space_forms | state | Classification of space forms
s_energy_functional | axiom | Energy functional
s_first_variation_of_energy | theorem | First variation of energy
s_first_variation_of_arc_length | theorem | First variation of arc length
s_second_variation_of_energy | theorem | Second variation of energy
s_index_form | axiom | Index form
s_synge_lemma | theorem | Synge's lemma
s_berger_lemma | theorem | Berger's lemma
s_klingenberg_injectivity_radius_estimate | theorem | Klingenberg's injectivity radius estimate
s_injectivity_radius | state | Injectivity radius
s_toponogov_hinge_version | state | Toponogov comparison (hinge version)
s_index_of_geodesic | axiom | Index of a geodesic
s_nullity_of_geodesic | state | Nullity of a geodesic
s_morse_index_theorem | theorem | Morse index theorem
s_byers_theorem | theorem | Byers' theorem
s_closed_geodesic_in_free_homotopy_class | theorem | Closed geodesic in free homotopy class
s_geodesic_variation | state | Geodesic variation
s_energy_vs_length_minimizers | state | Energy vs length minimizers
s_laplacian_comparison | state | Laplacian comparison theorem
s_geodesic_convexity | state | Geodesic convexity
t_normal_coordinate_computation | technique | Normal coordinate computation
t_sturm_liouville_comparison | technique | Sturm-Liouville comparison for Jacobi fields
t_covering_space_negative_curvature | technique | Covering space argument for negative curvature
t_comparison_of_jacobi_fields | technique | Comparison of Jacobi fields
s_smoothly_compatible_charts | axiom | Smoothly compatible charts
s_smooth_atlas | axiom | Smooth atlas
s_maximal_smooth_atlas | axiom | Maximal smooth atlas (smooth structure)
s_interior_and_boundary_of_manifold_with_boundary | state | Interior and boundary of a manifold with boundary
s_product_manifold | state | Product manifold
s_smooth_manifold_chart_lemma | theorem | Smooth manifold chart lemma
s_invariance_of_the_boundary | theorem | Invariance of the boundary
s_smooth_function_ring | state | Smooth function ring C^∞(M)
s_smooth_extension_lemma | theorem | Smooth extension lemma
s_exhaustion_function | state | Exhaustion function
s_derivation_at_a_point | axiom | Derivation at a point (tangent vector)
s_coordinate_basis_for_tangent_space | state | Coordinate basis for tangent space
s_differential_of_a_smooth_map | axiom | Differential of a smooth map
s_chain_rule_for_differentials | theorem | Chain rule for differentials
s_natural_coordinates_on_TM | state | Natural coordinates on TM
s_velocity_of_a_curve | state | Velocity of a curve
s_smooth_map_of_constant_rank | axiom | Smooth map of constant rank
s_inverse_function_theorem_manifolds | theorem | Inverse function theorem for manifolds
s_global_rank_theorem | theorem | Global rank theorem
s_local_immersion_theorem | theorem | Local immersion theorem
s_local_submersion_theorem | theorem | Local submersion theorem
s_local_section_of_submersion | theorem | Local section of a submersion
s_smooth_covering_map | axiom | Smooth covering map
s_embedded_submanifold | axiom | Embedded submanifold (regular submanifold)
s_slice_chart | axiom | Slice chart (adapted chart)
s_local_slice_criterion | theorem | Local slice criterion for embedded submanifolds
s_immersed_submanifold | axiom | Immersed submanifold
s_level_set | state | Level set
s_regular_value | axiom | Regular value
s_tangent_space_to_level_set | theorem | Tangent space to a level set
s_set_of_measure_zero_in_manifold | axiom | Set of measure zero in a manifold
s_critical_point_manifold | axiom | Critical point (manifold context)
s_parametric_transversality_theorem | theorem | Parametric transversality theorem
s_lie_group_isomorphism | axiom | Lie group isomorphism
s_embedded_lie_subgroup | state | Embedded Lie subgroup
s_left_right_translation | state | Left and right translation
s_smooth_group_action | axiom | Smooth group action
s_orbit_and_stabilizer | state | Orbit and stabilizer (isotropy group)
s_free_action | axiom | Free action
s_proper_action | axiom | Proper action
s_quotient_manifold_theorem | theorem | Quotient manifold theorem (for group actions)
s_equivariant_map | axiom | Equivariant map
s_covering_group_theorem | theorem | Covering group theorem
s_f_related_vector_fields | axiom | F-related vector fields
s_naturality_of_lie_bracket | theorem | Naturality of the Lie bracket
s_lie_algebra_homomorphism_from_lie_group | theorem | Lie algebra homomorphism induced by Lie group homomorphism
s_integral_curve | axiom | Integral curve
s_existence_uniqueness_integral_curves | theorem | Existence and uniqueness of integral curves
s_flow_domain | state | Flow domain
s_complete_vector_field | axiom | Complete vector field
s_flowout_theorem | theorem | Flowout theorem
s_lie_derivative_equals_lie_bracket | theorem | Lie derivative equals Lie bracket
s_commuting_vector_fields_and_flows | theorem | Commuting vector fields and flows
s_canonical_form_nonvanishing_vector_field | theorem | Canonical form for nonvanishing vector fields
s_local_trivialization | axiom | Local trivialization
s_transition_function_vector_bundle | state | Transition function of a vector bundle
s_section_of_vector_bundle | axiom | Section of a vector bundle
s_local_frame_vector_bundle | state | Local frame for a vector bundle
s_vector_bundle_construction_theorem | theorem | Vector bundle construction theorem
s_bundle_map | axiom | Bundle map (bundle homomorphism)
s_subbundle | axiom | Subbundle
s_covector | axiom | Covector (cotangent vector)
s_coordinate_covector_fields | state | Coordinate covector fields (dx^i)
s_covector_field | axiom | Covector field (1-form)
s_line_integral_of_covector_field | state | Line integral of a covector field
s_conservative_covector_field_characterization | theorem | Conservative covector field characterization
s_poincare_lemma_covector_fields | theorem | Poincare lemma for covector fields
s_multilinear_map_k_tensor | axiom | Multilinear map (k-tensor)
s_mixed_tensor | axiom | Mixed tensor
s_symmetric_tensor | axiom | Symmetric tensor
s_alternating_tensor | axiom | Alternating tensor
s_symmetrization_alternation_operators | state | Symmetrization and alternation operators
s_pullback_of_tensor_fields | state | Pullback of tensor fields
s_tensor_characterization_lemma | theorem | Tensor characterization lemma
s_existence_of_riemannian_metrics | theorem | Existence of Riemannian metrics
s_musical_isomorphisms | state | Musical isomorphisms (flat and sharp)
s_pseudo_riemannian_metric | axiom | Pseudo-Riemannian metric
s_pseudo_riemannian_manifold | state | Pseudo-Riemannian manifold
s_interior_multiplication | axiom | Interior multiplication (contraction)
s_invariant_formula_exterior_derivative | theorem | Invariant formula for the exterior derivative
s_orientation_of_a_vector_space | axiom | Orientation of a vector space
s_oriented_double_cover | state | Oriented double cover
s_riemannian_volume_form | state | Riemannian volume form
s_integration_of_forms_on_manifolds | axiom | Integration of differential forms on oriented manifolds
s_induced_boundary_orientation | state | Induced boundary orientation
s_manifold_with_corners | axiom | Manifold with corners
s_stokes_for_manifolds_with_corners | theorem | Stokes's theorem for manifolds with corners
s_induced_map_on_cohomology | state | Induced map on de Rham cohomology
s_homotopy_invariance_de_rham | theorem | Homotopy invariance of de Rham cohomology
t_homotopy_operator | technique | Homotopy operator (cochain homotopy)
s_poincare_lemma | theorem | Poincare lemma
s_cohomology_of_spheres | theorem | Cohomology of spheres
s_smooth_singular_homology | state | Smooth singular homology
s_de_rham_homomorphism | state | De Rham homomorphism
s_distribution_tangent_subbundle | axiom | Distribution (tangent subbundle)
s_integral_manifold | axiom | Integral manifold of a distribution
s_integrable_distribution | axiom | Integrable distribution
s_differential_form_criterion_involutivity | theorem | Differential form criterion for involutivity
s_lie_subalgebra_subgroup_correspondence | theorem | Lie subalgebra-Lie subgroup correspondence
s_exponential_map_lie_group | state | Exponential map of a Lie group
s_continuous_homomorphisms_are_smooth | theorem | Continuous homomorphisms between Lie groups are smooth
s_infinitesimal_generator_group_action | state | Infinitesimal generator of a group action
s_adjoint_representation_lie_algebra | state | Adjoint representation of the Lie algebra
s_homogeneous_space | state | Homogeneous space
s_covering_manifold | state | Covering manifold
s_symplectic_form_on_vector_space | axiom | Symplectic form on a vector space
s_symplectomorphism | axiom | Symplectomorphism
s_contact_structure | axiom | Contact structure
s_contact_manifold | axiom | Contact manifold
s_cotangent_bundle_symplectic | state | Cotangent bundle as symplectic manifold
t_chart_computation | technique | Chart computation technique
t_rank_theorem_technique | technique | Rank theorem technique
t_flow_box_straightening | technique | Flow box / straightening technique
t_mayer_vietoris_induction | technique | Mayer-Vietoris induction
t_exhaustion_by_compact_sets | technique | Exhaustion by compact sets technique
t_gluing_via_partition_of_unity | technique | Smooth maps into Euclidean space (gluing lemma)
s_space_form | axiom | Space form
s_principal_curvatures | state | Principal curvatures
s_mean_curvature_surface | state | Mean curvature of a surface
s_riemannian_submanifold | axiom | Riemannian submanifold
s_riemannian_distance_induces_topology | theorem | Riemannian distance induces the manifold topology
s_riemannian_density | state | Riemannian density
s_euclidean_space_riemannian | axiom | Euclidean space (Riemannian)
s_round_metric_sphere | axiom | Round metric on Sⁿ
s_poincare_ball_model | state | Poincaré ball model
s_poincare_half_space_model | state | Poincaré half-space model
s_homogeneous_riemannian_manifold | axiom | Homogeneous Riemannian manifold
s_isotropic_riemannian_manifold | axiom | Isotropic Riemannian manifold
s_frame_homogeneous_riemannian_manifold | axiom | Frame-homogeneous Riemannian manifold
s_classification_frame_homogeneous | theorem | Classification of frame-homogeneous spaces
s_riemannian_covering | state | Riemannian covering
s_connection_in_local_frame | state | Connection in a local frame
s_parallel_transport_determines_connection | theorem | Parallel transport characterizes connection
s_metric_connection | axiom | Metric connection
s_symmetric_connection | axiom | Symmetric (torsion-free) connection
s_christoffel_symbols_levi_civita | state | Christoffel symbols of the Levi-Civita connection
s_geodesics_constant_speed | theorem | Geodesics have constant speed
s_exp_local_diffeomorphism | theorem | Exponential map is a local diffeomorphism
s_fermi_coordinates | state | Fermi coordinates
s_riemannian_geodesics_minimize_length | theorem | Riemannian geodesics as locally length-minimizing curves
s_variation_of_curve | axiom | Variation of a curve
s_uniformly_normal_neighborhood | state | Uniformly normal neighborhood
s_distance_function_from_point | state | Distance function from a point
s_cut_locus_measure_zero | theorem | Cut locus has measure zero
s_riemann_curvature_endomorphism | state | Riemann curvature endomorphism
s_second_bianchi_identity | theorem | Second Bianchi identity
s_schouten_tensor | state | Schouten tensor
s_curvature_tensor_decomposition | theorem | Decomposition of the Riemann curvature tensor
s_curvature_of_constant_curvature_spaces | theorem | Curvature of constant-curvature spaces
s_contracted_second_bianchi_identity | theorem | Contracted second Bianchi identity
s_curvature_of_product_manifolds | theorem | Curvature of product manifolds
s_gauss_formula_submanifold | theorem | Gauss formula
s_weingarten_equation | theorem | Weingarten equation
s_curvature_of_hypersurfaces | theorem | Curvature of hypersurfaces
s_fundamental_theorem_hypersurface_theory | theorem | Fundamental theorem of hypersurface theory
s_gauss_bonnet_local | theorem | Local Gauss-Bonnet theorem
s_gauss_bonnet_with_boundary | theorem | Gauss-Bonnet theorem with boundary
s_euler_characteristic | axiom | Euler characteristic
s_jacobi_fields_existence_uniqueness | theorem | Existence and uniqueness of Jacobi fields
s_jacobi_fields_constant_curvature | theorem | Jacobi fields on constant-curvature spaces
s_no_conjugate_before_cut | theorem | No conjugate points before cut point
s_second_variation_of_arc_length | theorem | Second variation of arc length
s_index_form_conjugate_points | theorem | Index form characterization of conjugate points
s_hessian_comparison_theorem | theorem | Hessian comparison theorem
s_relative_volume_comparison | theorem | Relative volume comparison
s_milnor_theorem_fundamental_group | theorem | Milnor's theorem on fundamental groups
s_weinstein_theorem | theorem | Weinstein's theorem (Riemannian)
s_berger_quarter_pinched_sphere_theorem | theorem | Berger's quarter-pinched sphere theorem
s_killing_vector_field | axiom | Killing vector field
s_killing_fields_lie_algebra | theorem | Killing fields form a Lie algebra
s_max_dimension_isometry_group | theorem | Maximum dimension of the isometry group
s_cartan_ambrose_hicks_theorem | theorem | Cartan-Ambrose-Hicks theorem
s_local_to_global_isometry_extension | theorem | Local-to-global isometry extension
s_flat_riemannian_manifold | axiom | Flat Riemannian manifold
s_geodesic_curvature | state | Geodesic curvature
s_normal_jacobi_field | state | Normal Jacobi field
s_tangential_jacobi_field | state | Tangential Jacobi field
s_parallel_transport_preserves_inner_products | theorem | Parallel transport preserves inner products
t_variational_methods_geodesics | technique | Variational methods for geodesics
t_symmetry_group_action_methods | technique | Symmetry and group action methods
t_index_form_methods | technique | Index form methods
t_geodesic_deviation_analysis | technique | Geodesic deviation analysis
s_busemann_function | state | Busemann function
t_busemann_function_technique | technique | Busemann function technique
t_maximum_principle_riemannian | technique | Maximum principle (Riemannian)
s_product_riemannian_manifold | state | Product Riemannian manifold
s_warped_product_metric | state | Warped product metric
s_curvature_warped_products | theorem | Curvature of warped products
s_riemannian_submersion | axiom | Riemannian submersion
s_oneill_formula | theorem | O'Neill's formula
s_ambrose_singer_holonomy_theorem | theorem | Ambrose-Singer holonomy theorem
s_volume_of_geodesic_balls | state | Volume of geodesic balls
s_riemannian_laplacian | state | Laplacian (Riemannian)
s_riemannian_hessian | state | Hessian (Riemannian)
s_riemannian_gradient | state | Gradient (Riemannian)
s_riemannian_divergence | state | Divergence (Riemannian)
s_conformally_flat_manifold | axiom | Conformally flat manifold
s_weyl_vanishing_conformal_flatness | theorem | Weyl tensor vanishing and conformal flatness
s_cotton_tensor | state | Cotton tensor
s_conformal_flatness_dim_3 | theorem | Conformal flatness in dimension 3
s_normal_bundle | state | Normal bundle
s_comparison_triangle | state | Comparison triangle
s_alexandrov_angle_comparison | theorem | Alexandrov angle comparison
s_ricci_identity | theorem | Ricci identity (commutation of covariant derivatives)
t_parallel_transport_along_geodesics | technique | Parallel transport along geodesics
t_curvature_estimation_via_comparison | technique | Curvature estimation via comparison
s_principal_fibre_bundle | axiom | Principal fibre bundle
s_frame_bundle | state | Frame bundle L(M)
s_orthonormal_frame_bundle | state | Orthonormal frame bundle O(M)
s_connection_on_principal_bundle | axiom | Connection on a principal bundle
s_horizontal_lift_of_curve | state | Horizontal lift of a curve
s_restricted_holonomy_group | state | Restricted holonomy group
s_exterior_covariant_derivative | state | Exterior covariant derivative
s_cartan_structure_equation | theorem | Cartan structure equation
s_bianchi_identity_principal_bundle | theorem | Bianchi identity on principal bundle
s_reduction_theorem_connections | theorem | Reduction theorem for connections
s_existence_of_connections | theorem | Existence of connections on principal bundles
s_induced_connection_associated_bundle | state | Induced connection on associated bundle
s_gauge_transformation | axiom | Gauge transformation
s_linear_connection | axiom | Linear connection
s_torsion_tensor | state | Torsion tensor
s_canonical_form_solder_form | state | Canonical form (solder form) on L(M)
s_torsion_form_on_frame_bundle | state | Torsion form on L(M)
s_structure_equations_linear_connection | theorem | Structure equations of a linear connection
t_development_of_curves | technique | Development of curves
s_parallel_section | state | Parallel section
s_fundamental_theorem_riemannian_geometry | theorem | Fundamental theorem of Riemannian geometry
s_koszul_formula | theorem | Koszul formula
s_interior_product | state | Interior product
s_cartans_magic_formula | theorem | Cartan's magic formula
s_affine_transformation | axiom | Affine transformation
s_infinitesimal_affine_transformation | state | Infinitesimal affine transformation
s_killing_equation | theorem | Killing equation
s_maximum_dimension_isometry_group | theorem | Maximum dimension of isometry group
s_de_rham_decomposition_theorem | theorem | De Rham decomposition theorem
s_holonomy_of_flat_connections | theorem | Holonomy of flat connections
s_symmetric_space | axiom | Symmetric space
s_locally_symmetric_space | axiom | Locally symmetric space
s_locally_symmetric_iff_parallel_curvature | theorem | Locally symmetric iff parallel curvature
s_cartan_local_to_global_symmetric | theorem | Cartan's local-to-global symmetric space theorem
s_totally_umbilic_submanifold | axiom | Totally umbilic submanifold
s_gauss_map | state | Gauss map
s_flat_normal_connection | axiom | Flat normal connection
s_reduction_of_codimension_theorem | theorem | Reduction of codimension theorem
s_hermitian_metric | axiom | Hermitian metric
s_kahler_form_fundamental_2_form | state | Kähler form (fundamental 2-form)
s_kahler_potential | state | Kähler potential
s_holomorphic_sectional_curvature | state | Holomorphic sectional curvature
s_constant_holomorphic_sectional_curvature | theorem | Constant holomorphic sectional curvature characterization
s_complex_space_form | axiom | Complex space form
s_complex_projective_space | state | Complex projective space ℂPⁿ
s_fubini_study_metric | axiom | Fubini–Study metric
s_type_decomposition_differential_forms | state | Type decomposition of differential forms
s_holomorphic_vector_bundle | axiom | Holomorphic vector bundle
s_ricci_form_kahler | state | Ricci form of a Kähler manifold
s_bochner_curvature_tensor | state | Bochner curvature tensor
s_kahler_submanifold | state | Kähler submanifold
s_reductive_homogeneous_space | axiom | Reductive homogeneous space
s_naturally_reductive_homogeneous_space | axiom | Naturally reductive homogeneous space
s_invariant_connection_homogeneous | state | Invariant connection on G/H
s_canonical_connection_reductive | state | Canonical connection on reductive homogeneous space
s_curvature_naturally_reductive_spaces | theorem | Curvature of naturally reductive spaces
s_isotropy_representation | state | Isotropy representation
s_invariant_metric_homogeneous | state | Invariant metric on G/H
s_invariant_almost_complex_structure_homogeneous | state | G-invariant almost complex structure on G/H
s_geodesic_symmetry | state | Geodesic symmetry
s_riemannian_symmetric_pair | axiom | Riemannian symmetric pair
s_rank_of_symmetric_space | state | Rank of a symmetric space
s_symmetric_space_compact_type | state | Symmetric space of compact type
s_symmetric_space_noncompact_type | state | Symmetric space of noncompact type
s_duality_of_symmetric_spaces | theorem | Duality of symmetric spaces
s_curvature_of_symmetric_spaces | theorem | Curvature of symmetric spaces
s_de_rham_decomposition_symmetric_spaces | theorem | De Rham decomposition for symmetric spaces
s_maximal_flat_submanifold | state | Maximal flat submanifold
s_compact_symmetric_nonneg_curvature | theorem | Compact symmetric space has non-negative curvature
s_symmetric_space_is_complete | theorem | Symmetric space is complete
s_isotropy_irreducible_symmetric_space | state | Isotropy-irreducible symmetric space
t_weil_homomorphism | technique | Weil homomorphism
t_chern_weil_construction | technique | Chern–Weil construction
s_total_chern_class | state | Total Chern class
s_whitney_product_formula_chern | theorem | Whitney product formula for Chern classes
s_first_chern_class | state | First Chern class
s_total_pontryagin_class | state | Total Pontryagin class
s_euler_class | axiom | Euler class
s_chern_number | state | Chern number
s_pontryagin_number | state | Pontryagin number
t_transgression | technique | Transgression
t_splitting_principle | technique | Splitting principle technique
s_chern_class_of_line_bundle | theorem | Chern class of a line bundle
s_characteristic_classes_flat_bundles_vanish | theorem | Characteristic classes of flat bundles vanish
s_morse_function | axiom | Morse function
s_critical_point_of_smooth_function | axiom | Critical point of a smooth function
s_index_of_critical_point | axiom | Index of a critical point
s_hessian_at_critical_point | state | Hessian of a smooth function at a critical point
s_sublevel_set | axiom | Sublevel set
s_handle_attachment_theorem | theorem | Handle attachment theorem
s_handle_of_index_lambda | axiom | Handle of index λ
s_cw_structure_from_morse_function | theorem | CW complex structure from a Morse function
s_morse_number | axiom | Morse number Cₖ
s_weak_morse_inequalities | theorem | Weak Morse inequalities
s_strong_morse_inequalities | theorem | Strong Morse inequalities
s_poincare_polynomial_morse | state | Poincaré polynomial (Morse context)
s_lacunary_principle_morse | theorem | Lacunary principle
s_euler_characteristic_via_morse | theorem | Euler characteristic via Morse theory
s_gradient_flow_morse | state | Gradient flow of a Morse function
s_gradient_like_vector_field | axiom | Gradient-like vector field
s_stable_manifold_critical_point | state | Stable manifold of a critical point
s_unstable_manifold_critical_point | state | Unstable manifold of a critical point
s_cobordism_via_morse | state | Cobordism via Morse theory
s_path_space | axiom | Path space Ω(M; p, q)
s_energy_sublevel_set | state | Energy sublevel set Ωᶜ
s_finite_dimensional_approximation_path_space | state | Finite-dimensional approximation of path space
s_morse_index_of_geodesic | state | Morse index of a geodesic
s_focal_point | axiom | Focal point
s_index_theorem_with_focal_points | theorem | Index theorem with focal points
s_homotopy_groups_classical_lie_groups | state | Homotopy groups of classical Lie groups
s_loop_space_of_symmetric_space | state | Loop space of a symmetric space
s_bott_samelson_theorem | theorem | Bott–Samelson theorem
s_bott_iteration_formula | theorem | Bott's iteration formula
s_perfect_morse_function | axiom | Perfect Morse function
s_geodesic_as_critical_point_of_energy | state | Geodesic as critical point of energy
s_existence_of_morse_functions | theorem | Existence of Morse functions
s_compact_lie_group_as_symmetric_space | state | Compact Lie group as symmetric space
s_bi_invariant_metric | axiom | Bi-invariant metric on a Lie group
s_geodesics_in_symmetric_space | state | Geodesics in a symmetric space
s_periodicity_of_geodesics_compact_symmetric | theorem | Periodicity of geodesics in compact symmetric spaces
s_morse_theory_on_loop_space_symmetric | state | Morse theory on the loop space of a symmetric space
s_non_degenerate_critical_submanifold | state | Non-degenerate critical submanifold
s_morse_bott_theory | theorem | Morse–Bott theory
s_minimax_principle_morse | theorem | Minimax principle (Morse theory)
s_normal_bundle_of_critical_submanifold | state | Normal bundle of a critical submanifold (negative bundle)
s_palais_smale_condition | axiom | Condition (C) (Palais–Smale condition)
s_energy_satisfies_condition_c | theorem | Energy functional satisfies Condition (C)
s_homotopy_type_path_space_sublevel | theorem | Homotopy type of path space sublevel sets
s_existence_of_geodesics_via_morse | theorem | Existence of geodesics via Morse theory
s_theorem_of_serre | theorem | Theorem of Serre on closed geodesics
s_curvature_bounds_and_conjugate_points | theorem | Curvature bounds and conjugate points
s_homology_of_loop_space_via_morse | state | Homology of the loop space via Morse theory
t_gradient_flow_deformation | technique | Gradient flow deformation
t_handle_attachment_technique | technique | Handle attachment technique
t_second_variation_analysis | technique | Second variation analysis
t_jacobi_field_index_computation | technique | Jacobi field method for index computation
t_finite_dimensional_approximation_paths | technique | Finite-dimensional approximation of path spaces
t_symmetric_space_morse_theory | technique | Symmetric space Morse theory
t_morse_sublevel_deformation | technique | Morse theory technique (deforming sublevel sets)
s_normal_bundle_along_geodesic | state | Normal bundle along a geodesic
s_broken_geodesic | state | Broken geodesic (piecewise geodesic path)
s_topology_of_spheres_via_morse | state | Topology of Sⁿ via Morse theory
s_topology_of_projective_spaces_via_morse | state | Topology of projective spaces via Morse theory
s_topology_of_grassmannians_via_morse | state | Topology of Grassmannians via Morse theory
s_stable_unitary_group | axiom | Stable unitary group U
s_stable_orthogonal_group | axiom | Stable orthogonal group O
s_stable_symplectic_group | axiom | Stable symplectic group Sp
